,Disaster Number,IH Program Declared,IA Program Declared,PA Program Declared,HM Program Declared,State ,Declaration Date,Disaster Type,Incident Type,Title,Incident Begin Date,Incident End Date,Place Code,Declared County/Area,Declaration Request Number,Incident Duration Days,time
1315,4337.0,Yes,No,Yes,Yes,FL,9/10/2017,DR,Hurricane,HURRICANE IRMA,2017-09-04,2017-10-18,99005.0,Bay (County),17103.0,44 days 00:00:00.000000000,2017Q3
1316,4337.0,Yes,No,Yes,Yes,FL,9/10/2017,DR,Hurricane,HURRICANE IRMA,2017-09-04,2017-10-18,99007.0,Bradford (County),17103.0,44 days 00:00:00.000000000,2017Q3
1317,4337.0,Yes,No,Yes,Yes,FL,9/10/2017,DR,Hurricane,HURRICANE IRMA,2017-09-04,2017-10-18,99009.0,Brevard (County),17103.0,44 days 00:00:00.000000000,2017Q3
1318,4337.0,Yes,No,Yes,Yes,FL,9/10/2017,DR,Hurricane,HURRICANE IRMA,2017-09-04,2017-10-18,99011.0,Broward (County),17103.0,44 days 00:00:00.000000000,2017Q3
1319,4337.0,Yes,No,Yes,Yes,FL,9/10/2017,DR,Hurricane,HURRICANE IRMA,2017-09-04,2017-10-18,99013.0,Calhoun (County),17103.0,44 days 00:00:00.000000000,2017Q3
1320,4337.0,Yes,No,Yes,Yes,FL,9/10/2017,DR,Hurricane,HURRICANE IRMA,2017-09-04,2017-10-18,99015.0,Charlotte (County),17103.0,44 days 00:00:00.000000000,2017Q3
1321,4337.0,Yes,No,Yes,Yes,FL,9/10/2017,DR,Hurricane,HURRICANE IRMA,2017-09-04,2017-10-18,99017.0,Citrus (County),17103.0,44 days 00:00:00.000000000,2017Q3
1322,4337.0,Yes,No,Yes,Yes,FL,9/10/2017,DR,Hurricane,HURRICANE IRMA,2017-09-04,2017-10-18,99019.0,Clay (County),17103.0,44 days 00:00:00.000000000,2017Q3
1323,4337.0,Yes,No,Yes,Yes,FL,9/10/2017,DR,Hurricane,HURRICANE IRMA,2017-09-04,2017-10-18,99021.0,Collier (County),17103.0,44 days 00:00:00.000000000,2017Q3
1324,4337.0,Yes,No,Yes,Yes,FL,9/10/2017,DR,Hurricane,HURRICANE IRMA,2017-09-04,2017-10-18,99023.0,Columbia (County),17103.0,44 days 00:00:00.000000000,2017Q3
1325,4337.0,Yes,No,Yes,Yes,FL,9/10/2017,DR,Hurricane,HURRICANE IRMA,2017-09-04,2017-10-18,99027.0,DeSoto (County),17103.0,44 days 00:00:00.000000000,2017Q3
1326,4337.0,Yes,No,Yes,Yes,FL,9/10/2017,DR,Hurricane,HURRICANE IRMA,2017-09-04,2017-10-18,99029.0,Dixie (County),17103.0,44 days 00:00:00.000000000,2017Q3
1327,4337.0,Yes,No,Yes,Yes,FL,9/10/2017,DR,Hurricane,HURRICANE IRMA,2017-09-04,2017-10-18,99031.0,Duval (County),17103.0,44 days 00:00:00.000000000,2017Q3
1328,4337.0,Yes,No,Yes,Yes,FL,9/10/2017,DR,Hurricane,HURRICANE IRMA,2017-09-04,2017-10-18,99033.0,Escambia (County),17103.0,44 days 00:00:00.000000000,2017Q3
1329,4337.0,Yes,No,Yes,Yes,FL,9/10/2017,DR,Hurricane,HURRICANE IRMA,2017-09-04,2017-10-18,99035.0,Flagler (County),17103.0,44 days 00:00:00.000000000,2017Q3
1330,4337.0,Yes,No,Yes,Yes,FL,9/10/2017,DR,Hurricane,HURRICANE IRMA,2017-09-04,2017-10-18,99037.0,Franklin (County),17103.0,44 days 00:00:00.000000000,2017Q3
1331,4337.0,Yes,No,Yes,Yes,FL,9/10/2017,DR,Hurricane,HURRICANE IRMA,2017-09-04,2017-10-18,99039.0,Gadsden (County),17103.0,44 days 00:00:00.000000000,2017Q3
1332,4337.0,Yes,No,Yes,Yes,FL,9/10/2017,DR,Hurricane,HURRICANE IRMA,2017-09-04,2017-10-18,99041.0,Gilchrist (County),17103.0,44 days 00:00:00.000000000,2017Q3
1333,4337.0,Yes,No,Yes,Yes,FL,9/10/2017,DR,Hurricane,HURRICANE IRMA,2017-09-04,2017-10-18,99043.0,Glades (County),17103.0,44 days 00:00:00.000000000,2017Q3
1334,4337.0,Yes,No,Yes,Yes,FL,9/10/2017,DR,Hurricane,HURRICANE IRMA,2017-09-04,2017-10-18,99045.0,Gulf (County),17103.0,44 days 00:00:00.000000000,2017Q3
1335,4337.0,Yes,No,Yes,Yes,FL,9/10/2017,DR,Hurricane,HURRICANE IRMA,2017-09-04,2017-10-18,99047.0,Hamilton (County),17103.0,44 days 00:00:00.000000000,2017Q3
1336,4337.0,Yes,No,Yes,Yes,FL,9/10/2017,DR,Hurricane,HURRICANE IRMA,2017-09-04,2017-10-18,99049.0,Hardee (County),17103.0,44 days 00:00:00.000000000,2017Q3
1337,4337.0,Yes,No,Yes,Yes,FL,9/10/2017,DR,Hurricane,HURRICANE IRMA,2017-09-04,2017-10-18,99051.0,Hendry (County),17103.0,44 days 00:00:00.000000000,2017Q3
1338,4337.0,Yes,No,Yes,Yes,FL,9/10/2017,DR,Hurricane,HURRICANE IRMA,2017-09-04,2017-10-18,99053.0,Hernando (County),17103.0,44 days 00:00:00.000000000,2017Q3
1339,4337.0,Yes,No,Yes,Yes,FL,9/10/2017,DR,Hurricane,HURRICANE IRMA,2017-09-04,2017-10-18,99055.0,Highlands (County),17103.0,44 days 00:00:00.000000000,2017Q3
1340,4337.0,Yes,No,Yes,Yes,FL,9/10/2017,DR,Hurricane,HURRICANE IRMA,2017-09-04,2017-10-18,99057.0,Hillsborough (County),17103.0,44 days 00:00:00.000000000,2017Q3
1341,4337.0,Yes,No,Yes,Yes,FL,9/10/2017,DR,Hurricane,HURRICANE IRMA,2017-09-04,2017-10-18,99059.0,Holmes (County),17103.0,44 days 00:00:00.000000000,2017Q3
1342,4337.0,Yes,No,Yes,Yes,FL,9/10/2017,DR,Hurricane,HURRICANE IRMA,2017-09-04,2017-10-18,99061.0,Indian River (County),17103.0,44 days 00:00:00.000000000,2017Q3
1343,4337.0,Yes,No,Yes,Yes,FL,9/10/2017,DR,Hurricane,HURRICANE IRMA,2017-09-04,2017-10-18,99063.0,Jackson (County),17103.0,44 days 00:00:00.000000000,2017Q3
