,zipcode,tot_income,state,population,city,county
5874,34286,438031,FL,20726,NORTH PORT,Sarasota
5875,34287,505962,FL,25450,NORTH PORT,Sarasota
5876,34288,301912,FL,10825,NORTH PORT,Sarasota
5877,34289,73675,FL,2329,NORTH PORT,Sarasota
5878,34291,171522,FL,5901,NORTH PORT,Sarasota
5879,34292,631569,FL,15784,VENICE,Sarasota
5880,34293,1304703,FL,35624,VENICE,Sarasota
5881,34420,266805,FL,14639,BELLEVIEW,Marion
5882,34428,178970,FL,9522,CRYSTAL RIVER,Citrus
5883,34429,206640,FL,7430,CRYSTAL RIVER,Citrus
5884,34431,143515,FL,7803,DUNNELLON,Levy
5885,34431,143515,FL,7803,DUNNELLON,Marion
5886,34432,248678,FL,13346,DUNNELLON,Marion
5887,34433,129476,FL,5364,DUNNELLON,Citrus
5888,34434,155938,FL,8416,DUNNELLON,Citrus
5889,34436,132707,FL,8036,FLORAL CITY,Citrus
5890,34442,447533,FL,14693,HERNANDO,Citrus
5891,34446,372309,FL,16397,HOMOSASSA,Citrus
5892,34448,194696,FL,10413,HOMOSASSA,Citrus
5893,34449,52723,FL,2627,INGLIS,Citrus
5894,34449,52723,FL,2627,INGLIS,Levy
5895,34450,213553,FL,10709,INVERNESS,Citrus
5896,34452,200223,FL,11180,INVERNESS,Citrus
5897,34453,193580,FL,10708,INVERNESS,Citrus
5898,34461,260931,FL,10077,LECANTO,Citrus
5899,34465,372193,FL,17244,BEVERLY HILLS,Citrus
5900,34470,317190,FL,18425,OCALA,Marion
5901,34471,810066,FL,25419,OCALA,Marion
5902,34472,463571,FL,29246,OCALA,Marion
5903,34473,305912,FL,20310,OCALA,Marion
5904,34474,322987,FL,15894,OCALA,Marion
5905,34475,150373,FL,12607,OCALA,Marion
5906,34476,548649,FL,22141,OCALA,Marion
5907,34479,230541,FL,13941,OCALA,Marion
5908,34480,561030,FL,18685,OCALA,Marion
5909,34481,520640,FL,18536,OCALA,Marion
5910,34482,412991,FL,23801,OCALA,Marion
5911,34484,171791,FL,3811,OXFORD,Sumter
5912,34488,144574,FL,10106,SILVER SPRINGS,Marion
5913,34491,626268,FL,26153,SUMMERFIELD,Marion
5914,34491,626268,FL,26153,SUMMERFIELD,Sumter
5915,34498,12069,FL,569,YANKEETOWN,Levy
5916,34601,397991,FL,21186,BROOKSVILLE,Citrus
5917,34601,397991,FL,21186,BROOKSVILLE,Hernando
5918,34602,176105,FL,7331,BROOKSVILLE,Hernando
5919,34604,245441,FL,10510,BROOKSVILLE,Hernando
5920,34606,485023,FL,25940,SPRING HILL,Hernando
5921,34607,230133,FL,8772,SPRING HILL,Hernando
5922,34608,539720,FL,33554,SPRING HILL,Hernando
5923,34609,895297,FL,38775,SPRING HILL,Hernando
5924,34610,276068,FL,13276,SPRING HILL,Pasco
5925,34613,391893,FL,17801,BROOKSVILLE,Hernando
5926,34614,141250,FL,6857,BROOKSVILLE,Hernando
5927,34637,259430,FL,7981,LAND O LAKES,Pasco
5928,34638,814398,FL,25073,LAND O LAKES,Pasco
5929,34639,878053,FL,26816,LAND O LAKES,Pasco
5930,34652,499472,FL,23592,NEW PORT RICHEY,Pasco
5931,34653,524299,FL,34516,NEW PORT RICHEY,Pasco
5932,34654,509904,FL,22502,NEW PORT RICHEY,Pasco
5933,34655,1397923,FL,38844,NEW PORT RICHEY,Pasco
5934,34661,5771,FL,194,NOBLETON,Hernando
5935,34667,636853,FL,32610,HUDSON,Pasco
5936,34668,649711,FL,44664,PORT RICHEY,Pasco
5937,34669,271730,FL,12192,HUDSON,Pasco
5938,34677,821095,FL,21374,OLDSMAR,Pinellas
5939,34679,4665,FL,75,ARIPEKA,Pasco
5940,34681,89014,FL,894,CRYSTAL BEACH,Pinellas
5941,34683,1268657,FL,32292,PALM HARBOR,Pinellas
5942,34684,846836,FL,28148,PALM HARBOR,Pinellas
5943,34685,843691,FL,18434,PALM HARBOR,Pinellas
5944,34688,518041,FL,7245,TARPON SPRINGS,Pinellas
5945,34689,741642,FL,27173,TARPON SPRINGS,Pinellas
5946,34690,198682,FL,12152,HOLIDAY,Pasco
5947,34691,363018,FL,19758,HOLIDAY,Pasco
5948,34695,760899,FL,17695,SAFETY HARBOR,Pinellas
5949,34698,1163622,FL,37854,DUNEDIN,Pinellas
5950,34705,51136,FL,2707,ASTATULA,Lake
5951,34711,1771107,FL,55442,CLERMONT,Lake
5952,34714,398980,FL,19463,CLERMONT,Lake
5953,34714,398980,FL,19463,CLERMONT,Polk
5954,34715,455717,FL,16478,CLERMONT,Lake
5955,34731,232303,FL,10926,FRUITLAND PARK,Lake
5956,34731,232303,FL,10926,FRUITLAND PARK,Sumter
5957,34734,172067,FL,4069,GOTHA,Orange
5958,34736,469620,FL,15834,GROVELAND,Lake
5959,34737,114797,FL,2427,HOWEY IN THE HILLS,Lake
5960,34739,14955,FL,421,KENANSVILLE,Osceola
5961,34741,678457,FL,45820,KISSIMMEE,Osceola
5962,34743,569599,FL,40282,KISSIMMEE,Osceola
5963,34744,1019944,FL,50225,KISSIMMEE,Osceola
5964,34746,854856,FL,41043,KISSIMMEE,Osceola
5965,34747,770124,FL,16598,KISSIMMEE,Orange
5966,34747,770124,FL,16598,KISSIMMEE,Osceola
5967,34748,916968,FL,38861,LEESBURG,Lake
5968,34753,87876,FL,5592,MASCOTTE,Lake
5969,34756,160081,FL,3652,MONTVERDE,Lake
5970,34758,564663,FL,37311,KISSIMMEE,Osceola
5971,34759,651864,FL,35558,KISSIMMEE,Osceola
5972,34759,651864,FL,35558,KISSIMMEE,Polk
5973,34760,38314,FL,851,OAKLAND,Orange
5974,34761,1078442,FL,42941,OCOEE,Orange
5975,34762,16206,FL,396,OKAHUMPKA,Lake
5976,34769,450458,FL,22523,SAINT CLOUD,Osceola
5977,34771,572711,FL,14281,SAINT CLOUD,Osceola
5978,34772,655102,FL,29182,SAINT CLOUD,Osceola
5979,34773,97509,FL,3739,SAINT CLOUD,Osceola
5980,34785,214806,FL,26163,WILDWOOD,Sumter
5981,34786,2715939,FL,38249,WINDERMERE,Orange
5982,34787,2146305,FL,55845,WINTER GARDEN,Lake
5983,34787,2146305,FL,55845,WINTER GARDEN,Orange
5984,34788,353240,FL,17401,LEESBURG,Lake
5985,34797,53697,FL,796,YALAHA,Lake
5986,34945,112724,FL,5774,FORT PIERCE,St. Lucie
5987,34946,115865,FL,6753,FORT PIERCE,St. Lucie
5988,34947,142719,FL,13276,FORT PIERCE,St. Lucie
5989,34949,381167,FL,7239,FORT PIERCE,St. Lucie
5990,34950,178107,FL,15099,FORT PIERCE,St. Lucie
5991,34951,301970,FL,14993,FORT PIERCE,St. Lucie
5992,34952,900830,FL,38951,PORT SAINT LUCIE,St. Lucie
5993,34953,1419090,FL,66911,PORT SAINT LUCIE,St. Lucie
5994,34956,114500,FL,9970,INDIANTOWN,Martin
5995,34957,846047,FL,22071,JENSEN BEACH,Martin
5996,34957,846047,FL,22071,JENSEN BEACH,St. Lucie
5997,34972,263661,FL,20053,OKEECHOBEE,Okeechobee
5998,34972,263661,FL,20053,OKEECHOBEE,Osceola
5999,34972,263661,FL,20053,OKEECHOBEE,St. Lucie
6000,34974,467742,FL,22941,OKEECHOBEE,Glades
6001,34974,467742,FL,22941,OKEECHOBEE,Highlands
6002,34974,467742,FL,22941,OKEECHOBEE,Martin
6003,34974,467742,FL,22941,OKEECHOBEE,Okeechobee
6004,34981,94550,FL,5787,FORT PIERCE,St. Lucie
6005,34982,460044,FL,23833,FORT PIERCE,St. Lucie
6006,34983,824512,FL,41469,PORT SAINT LUCIE,St. Lucie
6007,34984,385579,FL,15023,PORT SAINT LUCIE,St. Lucie
6008,34986,950324,FL,24100,PORT SAINT LUCIE,St. Lucie
6009,34987,372559,FL,7167,PORT SAINT LUCIE,St. Lucie
6010,34990,1601819,FL,28134,PALM CITY,Martin
6011,34990,1601819,FL,28134,PALM CITY,St. Lucie
6012,34994,448280,FL,16955,STUART,Martin
6013,34994,448280,FL,16955,STUART,St. Lucie
6014,34996,1183626,FL,11039,STUART,Martin
6015,34997,1512921,FL,42971,STUART,Martin
