State,Filed week ended,Initial Claims,Reflecting Week Ended,Continued Claims,Covered Employment,Insured Unemployment Rate
Texas,1/3/15,"13,471",12/27/14,"144,823","10,913,129",1.33
Texas,1/10/15,"25,783",1/3/15,"140,712","10,913,129",1.29
Texas,1/17/15,"19,674",1/10/15,"146,275","10,995,551",1.33
Texas,1/24/15,"17,117",1/17/15,"138,914","10,995,551",1.26
Texas,1/31/15,"17,981",1/24/15,"146,373","10,995,551",1.33
Texas,2/7/15,"20,418",1/31/15,"140,062","10,995,551",1.27
Texas,2/14/15,"17,999",2/7/15,"144,077","10,995,551",1.31
Texas,2/21/15,"17,182",2/14/15,"146,142","10,995,551",1.33
Texas,2/28/15,"17,136",2/21/15,"150,006","10,995,551",1.36
Texas,3/7/15,"19,075",2/28/15,"151,623","10,995,551",1.38
Texas,3/14/15,"17,302",3/7/15,"152,495","10,995,551",1.39
Texas,3/21/15,"19,337",3/14/15,"159,807","10,995,551",1.45
Texas,3/28/15,"18,361",3/21/15,"157,749","10,995,551",1.43
Texas,4/4/15,"18,356",3/28/15,"158,860","10,995,551",1.44
Texas,4/11/15,"21,023",4/4/15,"153,084","10,995,551",1.39
Texas,4/18/15,"18,860",4/11/15,"164,025","11,081,594",1.48
Texas,4/25/15,"17,372",4/18/15,"166,152","11,081,594",1.5
Texas,5/2/15,"17,228",4/25/15,"166,681","11,081,594",1.5
Texas,5/9/15,"17,348",5/2/15,"163,074","11,081,594",1.47
Texas,5/16/15,"17,021",5/9/15,"165,610","11,081,594",1.49
Texas,5/23/15,"17,595",5/16/15,"169,900","11,081,594",1.53
Texas,5/30/15,"15,015",5/23/15,"169,756","11,081,594",1.53
Texas,6/6/15,"18,504",5/30/15,"174,319","11,081,594",1.57
Texas,6/13/15,"16,929",6/6/15,"169,953","11,081,594",1.53
Texas,6/20/15,"17,436",6/13/15,"179,381","11,081,594",1.62
Texas,6/27/15,"18,491",6/20/15,"180,742","11,081,594",1.63
Texas,7/4/15,"16,086",6/27/15,"180,249","11,081,594",1.63
Texas,7/11/15,"19,605",7/4/15,"179,996","11,181,963",1.61
Texas,7/18/15,"16,431",7/11/15,"181,065","11,181,963",1.62
Texas,7/25/15,"16,270",7/18/15,"187,330","11,181,963",1.68
Texas,8/1/15,"16,281",7/25/15,"182,537","11,181,963",1.63
Texas,8/8/15,"16,692",8/1/15,"183,428","11,181,963",1.64
Texas,8/15/15,"15,621",8/8/15,"176,760","11,181,963",1.58
Texas,8/22/15,"15,367",8/15/15,"181,437","11,181,963",1.62
Texas,8/29/15,"15,925",8/22/15,"173,055","11,181,963",1.55
Texas,9/5/15,"17,045",8/29/15,"170,253","11,181,963",1.52
Texas,9/12/15,"13,476",9/5/15,"160,294","11,181,963",1.43
Texas,9/19/15,"15,661",9/12/15,"169,115","11,181,963",1.51
Texas,9/26/15,"15,160",9/19/15,"161,106","11,181,963",1.44
Texas,10/3/15,"16,483",9/26/15,"163,862","11,181,963",1.47
Texas,10/10/15,"19,110",10/3/15,"151,925","11,275,316",1.35
Texas,10/17/15,"16,217",10/10/15,"159,631","11,275,316",1.42
Texas,10/24/15,"16,449",10/17/15,"159,096","11,275,316",1.41
Texas,10/31/15,"16,966",10/24/15,"162,024","11,275,316",1.44
Texas,11/7/15,"19,421",10/31/15,"160,947","11,275,316",1.43
Texas,11/14/15,"16,301",11/7/15,"160,704","11,275,316",1.43
Texas,11/21/15,"18,146",11/14/15,"169,363","11,275,316",1.5
Texas,11/28/15,"10,921",11/21/15,"157,411","11,275,316",1.4
Texas,12/5/15,"21,703",11/28/15,"182,647","11,275,316",1.62
Texas,12/12/15,"17,168",12/5/15,"162,238","11,275,316",1.44
Texas,12/19/15,"16,016",12/12/15,"177,836","11,275,316",1.58
Texas,12/26/15,"10,933",12/19/15,"160,420","11,275,316",1.42
Texas,1/2/16,"12,859",12/26/15,"180,569","11,275,316",1.6
Texas,1/9/16,"26,258",1/2/16,"179,040","11,181,963",1.6
Texas,1/16/16,"19,126",1/9/16,"181,738","11,181,963",1.63
Texas,1/23/16,"16,838",1/16/16,"175,742","11,181,963",1.57
Texas,1/30/16,"17,635",1/23/16,"179,310","11,181,963",1.6
Texas,2/6/16,"19,309",1/30/16,"174,000","11,181,963",1.56
Texas,2/13/16,"16,967",2/6/16,"174,666","11,181,963",1.56
Texas,2/20/16,"15,977",2/13/16,"174,913","11,181,963",1.56
Texas,2/27/16,"16,936",2/20/16,"179,585","11,181,963",1.61
Texas,3/5/16,"17,643",2/27/16,"176,560","11,181,963",1.58
Texas,3/12/16,"16,955",3/5/16,"175,285","11,181,963",1.57
Texas,3/19/16,"16,306",3/12/16,"179,249","11,181,963",1.6
Texas,3/26/16,"17,361",3/19/16,"182,931","11,181,963",1.64
Texas,4/2/16,"16,427",3/26/16,"178,756","11,181,963",1.6
Texas,4/9/16,"19,103",4/2/16,"172,637","11,416,813",1.51
Texas,4/16/16,"16,564",4/9/16,"176,156","11,416,813",1.54
Texas,4/23/16,"16,288",4/16/16,"181,331","11,416,813",1.59
Texas,4/30/16,"16,133",4/23/16,"178,982","11,416,813",1.57
Texas,5/7/16,"17,074",4/30/16,"180,372","11,416,813",1.58
Texas,5/14/16,"17,346",5/7/16,"175,739","11,416,813",1.54
Texas,5/21/16,"17,421",5/14/16,"182,079","11,416,813",1.59
Texas,5/28/16,"17,101",5/21/16,"179,596","11,416,813",1.57
Texas,6/4/16,"16,543",5/28/16,"183,745","11,416,813",1.61
Texas,6/11/16,"17,624",6/4/16,"179,754","11,416,813",1.57
Texas,6/18/16,"17,571",6/11/16,"189,644","11,416,813",1.66
Texas,6/25/16,"17,181",6/18/16,"191,054","11,416,813",1.67
Texas,7/2/16,"16,540",6/25/16,"190,291","11,416,813",1.67
Texas,7/9/16,"16,075",7/2/16,"183,095","11,464,998",1.6
Texas,7/16/16,"17,483",7/9/16,"192,200","11,464,998",1.68
Texas,7/23/16,"15,838",7/16/16,"192,281","11,464,998",1.68
Texas,7/30/16,"14,990",7/23/16,"189,988","11,464,998",1.66
Texas,8/6/16,"16,186",7/30/16,"188,295","11,464,998",1.64
Texas,8/13/16,"15,596",8/6/16,"182,533","11,464,998",1.59
Texas,8/20/16,"15,210",8/13/16,"185,052","11,464,998",1.61
Texas,8/27/16,"14,268",8/20/16,"180,016","11,464,998",1.57
Texas,9/3/16,"15,707",8/27/16,"177,039","11,464,998",1.54
Texas,9/10/16,"13,072",9/3/16,"164,760","11,464,998",1.44
Texas,9/17/16,"14,817",9/10/16,"169,348","11,464,998",1.48
Texas,9/24/16,"14,694",9/17/16,"165,962","11,464,998",1.45
Texas,10/1/16,"14,323",9/24/16,"163,680","11,464,998",1.43
Texas,10/8/16,"16,881",10/1/16,"157,796","11,489,518",1.37
Texas,10/15/16,"14,613",10/8/16,"154,824","11,489,518",1.35
Texas,10/22/16,"15,308",10/15/16,"157,801","11,489,518",1.37
Texas,10/29/16,"15,832",10/22/16,"152,512","11,489,518",1.33
Texas,11/5/16,"17,998",10/29/16,"156,476","11,489,518",1.36
Texas,11/12/16,"15,829",11/5/16,"147,819","11,489,518",1.29
Texas,11/19/16,"18,565",11/12/16,"159,339","11,489,518",1.39
Texas,11/26/16,"10,877",11/19/16,"147,856","11,489,518",1.29
Texas,12/3/16,"20,194",11/26/16,"175,613","11,489,518",1.53
Texas,12/10/16,"15,509",12/3/16,"151,207","11,489,518",1.32
Texas,12/17/16,"15,595",12/10/16,"168,225","11,489,518",1.46
Texas,12/24/16,"13,720",12/17/16,"153,582","11,489,518",1.34
Texas,12/31/16,"11,715",12/24/16,"168,717","11,489,518",1.47
Texas,1/7/17,"21,401",12/31/16,"167,019","11,489,518",1.45
Texas,1/14/17,"17,583",1/7/17,"170,051","11,526,467",1.48
Texas,1/21/17,"15,064",1/14/17,"161,675","11,526,467",1.4
Texas,1/28/17,"15,118",1/21/17,"165,892","11,526,467",1.44
Texas,2/4/17,"15,306",1/28/17,"155,865","11,526,467",1.35
Texas,2/11/17,"14,652",2/4/17,"154,824","11,526,467",1.34
Texas,2/18/17,"13,841",2/11/17,"153,292","11,526,467",1.33
Texas,2/25/17,"12,293",2/18/17,"152,877","11,526,467",1.33
Texas,3/4/17,"13,841",2/25/17,"150,379","11,526,467",1.3
Texas,3/11/17,"14,103",3/4/17,"145,929","11,526,467",1.27
Texas,3/18/17,"13,344",3/11/17,"145,769","11,526,467",1.26
Texas,3/25/17,"15,950",3/18/17,"149,911","11,526,467",1.3
Texas,4/1/17,"13,745",3/25/17,"144,323","11,526,467",1.25
Texas,4/8/17,"16,625",4/1/17,"142,058","11,512,952",1.23
Texas,4/15/17,"13,147",4/8/17,"139,357","11,512,952",1.21
Texas,4/22/17,"13,835",4/15/17,"144,889","11,512,952",1.26
Texas,4/29/17,"13,224",4/22/17,"139,968","11,512,952",1.22
Texas,5/6/17,"14,590",4/29/17,"141,653","11,512,952",1.23
Texas,5/13/17,"14,546",5/6/17,"134,071","11,512,952",1.16
Texas,5/20/17,"15,198",5/13/17,"141,368","11,512,952",1.23
Texas,5/27/17,"15,135",5/20/17,"137,165","11,512,952",1.19
Texas,6/3/17,"14,020",5/27/17,"142,868","11,512,952",1.24
Texas,6/10/17,"15,942",6/3/17,"138,526","11,512,952",1.2
