State,Filed week ended,Initial Claims,Reflecting Week Ended,Continued Claims,Covered Employment,Insured Unemployment Rate
Texas,8/5/17,"14,081",7/29/17,"147,742","11,545,879",1.28
Texas,8/12/17,"13,218",8/5/17,"146,399","11,545,879",1.27
Texas,8/19/17,"13,290",8/12/17,"146,555","11,545,879",1.27
Texas,8/26/17,"12,105",8/19/17,"143,964","11,545,879",1.25
Texas,9/2/17,"63,788",8/26/17,"135,605","11,545,879",1.17
Texas,9/9/17,"52,024",9/2/17,"128,496","11,545,879",1.11
Texas,9/16/17,"28,387",9/9/17,"193,355","11,545,879",1.67
Texas,9/23/17,"20,104",9/16/17,"156,703","11,545,879",1.36
Texas,9/30/17,"17,063",9/23/17,"163,562","11,545,879",1.42
Texas,10/7/17,"16,656",9/30/17,"133,903","11,545,879",1.16
Texas,10/14/17,"14,865",10/7/17,"145,286","11,604,324",1.25
Texas,10/21/17,"15,164",10/14/17,"128,786","11,604,324",1.11
Texas,10/28/17,"14,423",10/21/17,"143,632","11,604,324",1.24
Texas,11/4/17,"14,937",10/28/17,"124,127","11,604,324",1.07
Texas,11/11/17,"14,719",11/4/17,"136,990","11,604,324",1.18
Texas,11/18/17,"15,826",11/11/17,"125,798","11,604,324",1.08
Texas,11/25/17,"10,737",11/18/17,"134,210","11,604,324",1.16
Texas,12/2/17,"19,599",11/25/17,"140,371","11,604,324",1.21
Texas,12/9/17,"14,375",12/2/17,"135,717","11,604,324",1.17
Texas,12/16/17,"14,244",12/9/17,"136,339","11,604,324",1.17
Texas,12/23/17,"14,138",12/16/17,"139,198","11,604,324",1.2
Texas,12/30/17,"9,919",12/23/17,"133,078","11,604,324",1.15
