State,Filed week ended,Initial Claims,Reflecting Week Ended,Continued Claims,Covered Employment,Insured Unemployment Rate
Florida,9/2/17,"7,062",8/26/17,"51,127","8,172,841",0.63
Florida,9/9/17,"4,773",9/2/17,"46,151","8,172,841",0.56
Florida,9/16/17,"10,052",9/9/17,"43,730","8,172,841",0.54
Florida,9/23/17,"18,477",9/16/17,"47,113","8,172,841",0.58
Florida,9/30/17,"14,902",9/23/17,"47,483","8,172,841",0.58
Florida,10/7/17,"13,861",9/30/17,"50,711","8,231,592",0.62
Florida,10/14/17,"11,314",10/7/17,"48,373","8,231,592",0.59
Florida,10/21/17,"10,112",10/14/17,"50,005","8,231,592",0.61
Florida,10/28/17,"8,849",10/21/17,"46,350","8,231,592",0.56
Florida,11/4/17,"8,596",10/28/17,"47,073","8,231,592",0.57
Florida,11/11/17,"7,610",11/4/17,"44,045","8,231,592",0.54
Florida,11/18/17,"8,423",11/11/17,"47,258","8,231,592",0.57
Florida,11/25/17,"5,255",11/18/17,"37,990","8,231,592",0.46
Florida,12/2/17,"8,024",11/25/17,"49,712","8,231,592",0.6
Florida,12/9/17,"7,593",12/2/17,"39,908","8,231,592",0.48
Florida,12/16/17,"7,332",12/9/17,"46,672","8,231,592",0.57
Florida,12/23/17,"6,971",12/16/17,"41,294","8,231,592",0.5
Florida,12/30/17,"5,443",12/23/17,"43,874","8,231,592",0.53
